sweep_tag,obs_window,min_residency,threshold_profile,seed,return_code,result_csv,branch_threshold,mem_threshold,load_use_threshold,frontend_threshold,idle_threshold
w16_r8_thtight_seed0,16,8,tight,0,0,/repo/results/sweeps/w16_r8_thtight_seed0/pipesense_results.csv,4,4,3,6,4
w16_r8_thmedium_seed0,16,8,medium,0,0,/repo/results/sweeps/w16_r8_thmedium_seed0/pipesense_results.csv,8,8,6,10,8
w16_r8_thloose_seed0,16,8,loose,0,0,/repo/results/sweeps/w16_r8_thloose_seed0/pipesense_results.csv,12,12,9,16,12
w16_r24_thtight_seed0,16,24,tight,0,0,/repo/results/sweeps/w16_r24_thtight_seed0/pipesense_results.csv,4,4,3,6,4
w16_r24_thmedium_seed0,16,24,medium,0,0,/repo/results/sweeps/w16_r24_thmedium_seed0/pipesense_results.csv,8,8,6,10,8
w16_r24_thloose_seed0,16,24,loose,0,0,/repo/results/sweeps/w16_r24_thloose_seed0/pipesense_results.csv,12,12,9,16,12
w16_r48_thtight_seed0,16,48,tight,0,0,/repo/results/sweeps/w16_r48_thtight_seed0/pipesense_results.csv,4,4,3,6,4
w16_r48_thmedium_seed0,16,48,medium,0,0,/repo/results/sweeps/w16_r48_thmedium_seed0/pipesense_results.csv,8,8,6,10,8
w16_r48_thloose_seed0,16,48,loose,0,0,/repo/results/sweeps/w16_r48_thloose_seed0/pipesense_results.csv,12,12,9,16,12
w32_r8_thtight_seed0,32,8,tight,0,0,/repo/results/sweeps/w32_r8_thtight_seed0/pipesense_results.csv,4,4,3,6,4
w32_r8_thmedium_seed0,32,8,medium,0,0,/repo/results/sweeps/w32_r8_thmedium_seed0/pipesense_results.csv,8,8,6,10,8
w32_r8_thloose_seed0,32,8,loose,0,0,/repo/results/sweeps/w32_r8_thloose_seed0/pipesense_results.csv,12,12,9,16,12
w32_r24_thtight_seed0,32,24,tight,0,0,/repo/results/sweeps/w32_r24_thtight_seed0/pipesense_results.csv,4,4,3,6,4
w32_r24_thmedium_seed0,32,24,medium,0,0,/repo/results/sweeps/w32_r24_thmedium_seed0/pipesense_results.csv,8,8,6,10,8
w32_r24_thloose_seed0,32,24,loose,0,0,/repo/results/sweeps/w32_r24_thloose_seed0/pipesense_results.csv,12,12,9,16,12
w32_r48_thtight_seed0,32,48,tight,0,0,/repo/results/sweeps/w32_r48_thtight_seed0/pipesense_results.csv,4,4,3,6,4
w32_r48_thmedium_seed0,32,48,medium,0,0,/repo/results/sweeps/w32_r48_thmedium_seed0/pipesense_results.csv,8,8,6,10,8
w32_r48_thloose_seed0,32,48,loose,0,0,/repo/results/sweeps/w32_r48_thloose_seed0/pipesense_results.csv,12,12,9,16,12
w64_r8_thtight_seed0,64,8,tight,0,0,/repo/results/sweeps/w64_r8_thtight_seed0/pipesense_results.csv,4,4,3,6,4
w64_r8_thmedium_seed0,64,8,medium,0,0,/repo/results/sweeps/w64_r8_thmedium_seed0/pipesense_results.csv,8,8,6,10,8
w64_r8_thloose_seed0,64,8,loose,0,0,/repo/results/sweeps/w64_r8_thloose_seed0/pipesense_results.csv,12,12,9,16,12
w64_r24_thtight_seed0,64,24,tight,0,0,/repo/results/sweeps/w64_r24_thtight_seed0/pipesense_results.csv,4,4,3,6,4
w64_r24_thmedium_seed0,64,24,medium,0,0,/repo/results/sweeps/w64_r24_thmedium_seed0/pipesense_results.csv,8,8,6,10,8
w64_r24_thloose_seed0,64,24,loose,0,0,/repo/results/sweeps/w64_r24_thloose_seed0/pipesense_results.csv,12,12,9,16,12
w64_r48_thtight_seed0,64,48,tight,0,0,/repo/results/sweeps/w64_r48_thtight_seed0/pipesense_results.csv,4,4,3,6,4
w64_r48_thmedium_seed0,64,48,medium,0,0,/repo/results/sweeps/w64_r48_thmedium_seed0/pipesense_results.csv,8,8,6,10,8
w64_r48_thloose_seed0,64,48,loose,0,0,/repo/results/sweeps/w64_r48_thloose_seed0/pipesense_results.csv,12,12,9,16,12
