bench,halted,timed_out,steps,retired,final_pc,zero_flag,program_words,data_writes,program_crc32,state_crc32,arch_hash,nonzero_regs,touched_memory
arithmetic_heavy,True,False,23,22,23,False,23,0,eb3c60ae,7d707cde,0x028d9a0a,r1=21;r2=9;r3=21;r4=28;r5=95;r6=65;r8=21;r9=28;r10=4;r11=21;r12=9;r13=67;r14=30;r15=4,m1=21;m2=9
branch_heavy,True,False,75,74,6,True,6,0,157bc3f2,29325185,0xcb468f4c,r2=1,m20=24;m21=1
memory_heavy,True,False,101,100,10,True,10,14,26634b43,91c1477d,0x1fc41a0a,r2=1;r3=100;r4=7;r5=107,m80=14;m81=1;m83=100;m87=7;m91=107
load_use_heavy,True,False,129,128,10,True,10,0,6adb41bd,dc852789,0x9f6c3f63,r2=1;r3=11;r4=12;r5=13;r6=25,m100=18;m101=1;m104=11;m105=13
mixed_control,True,False,77,76,11,True,11,12,92f06b83,a40dfda1,0xaed16614,r2=1;r3=5;r4=255;r5=60;r6=195,m120=12;m121=1;m122=5;m123=255;m127=195
tiny_fir,True,False,91,90,14,True,14,8,0e513ed1,99eca7db,0x8ad36691,r2=1;r3=3;r4=5;r5=8;r6=13;r7=8;r8=21;r9=29,m140=8;m141=1;m144=3;m145=5;m146=8;m147=13;m151=29
dhrystone_toy,True,False,107,106,17,True,17,10,7b1528c2,3ed0496f,0xe048ff25,r2=1;r3=5242964;r4=5242963;r5=10354839;r6=6357096;r7=65544;r8=65545;r10=16711935;r11=252645135,m160=10;m161=1;m162=3;m163=5;m164=16711935;m165=252645135;m170=5242963
coremark_toy,True,False,114,113,15,True,15,1,0a7393f3,efa4bf51,0xdae8cf22,r2=1;r3=212;r4=44881;r5=99;r6=44880;r7=65,m180=12;m181=1;m182=200;m183=44257;m200=37;m201=19;m202=91;m203=44;m204=12;m205=73;m206=5;m207=128;m208=64;m209=23;m210=17;m211=99;m220=44881
dsp_fir_codegen,True,False,126,125,21,True,21,8,93bb4d73,cbcd2011,0x90764424,r2=1;r3=208;r4=89;r5=144;r6=843;r7=233;r8=377;r9=768;r10=255;r11=228,m190=8;m191=1;m192=200;m193=220;m194=255;m200=3;m201=5;m202=8;m203=13;m204=21;m205=34;m206=55;m207=89;m208=144;m209=233;m210=377;m225=256;m226=512;m227=768
pid_control_codegen,True,False,138,137,17,True,17,12,8fa4b539,bba31fcf,0x17d1dcdd,r2=1;r3=100;r4=76;r5=100;r7=19;r8=236;r10=255,m56=12;m57=1;m58=100;m59=64;m60=255;m64=93;m65=97;m66=104;m67=99;m68=88;m69=101;m70=109;m71=95;m72=98;m73=106;m74=91;m75=100;m96=241;m97=242;m98=253;m99=247;m100=224;m101=238;m102=255;m103=236;m104=237;m105=251;m106=227;m107=236
